,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id,gitlab_id,gitlab_url
78,GasModels.jl,gasnet,"['gha', 'julia', 'lab']",,lanl-ansi/GasModels.jl,BSD-3,Gas Network Optimization.,https://github.com/lanl-ansi/GasModels.jl,https://github.com/lanl-ansi/GasModels.jl,2016-08-29 16:01:10,2026-03-31 16:35:19.000000,2026-03-26 19:11:47,1247.0,22.0,27.0,78.0,19.0,18,True,https://lanl-ansi.github.io/GasModels.jl/latest/,7.0,141.0,134.0,2026-02-26 22:01:50.000,0.12.0,31.0,85.0,,,,,,,,,,,,3.0,,,,,,,,,,,
79,STEPS,phasor,"['c', 'pypi', 'python', 'university']",,changgang/steps,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,https://github.com/changgang/steps,2019-08-24 12:09:47,2026-02-02 03:19:10.000000,2026-02-02 02:05:27,799.0,22.0,,68.0,9.0,18,True,https://github.com/changgang/steps/wiki/,6.0,,3.0,2026-02-02 03:21:35.000,2.3.0,6.0,30.0,stepspy,,70.0,173.0,7.0,7.0,https://pypi.org/project/stepspy,173.0,,,,2.0,,,,,,,,,,,
80,GridPACK,phasor,"['c', 'gha', 'python', 'lab']",,GridOPTICS/GridPACK,BSD-3,High-Performance Electric Grid Simulation.,https://github.com/GridOPTICS/GridPACK,https://gridpack.pnnl.gov/wiki/index.php/Main_Page,2014-07-22 21:01:57,2026-04-02 17:31:37.000000,2026-03-27 15:49:06,3281.0,23.0,18.0,61.0,58.0,18,True,https://github.com/GridOPTICS/GridPACK/wiki,15.0,121.0,119.0,2026-03-24 15:40:43.000,3.6,7.0,83.0,,,654.0,5.0,,,,,,,,2.0,,,,,,,,,,,
81,Prescient,steady-state,"['gha', 'pypi', 'python']",,grid-parity-exchange/Prescient,BSD-3,Production cost modeling for power generation and distribution networks.,https://github.com/grid-parity-exchange/Prescient,https://github.com/grid-parity-exchange/Prescient,2020-06-02 22:42:14,2025-10-06 15:33:27.000000,2025-10-06 15:33:26,263.0,16.0,20.0,40.0,11.0,18,True,https://prescient.readthedocs.io/,7.0,123.0,47.0,2023-04-04 01:34:03.331,2.2.2,5.0,,gridx-prescient,,,22882.0,13.0,11.0,https://pypi.org/project/gridx-prescient,22882.0,,,,2.0,2022-12-16 02:39:33.564,2.0,,,,,,,,,
82,PowerNetworkMatrices.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerNetworkMatrices.jl,BSD-3,Power systems matrices; NREL Sienna.,https://github.com/NREL-Sienna/PowerNetworkMatrices.jl,https://www.nlr.gov/analysis/sienna,2022-11-16 21:59:51,2026-04-02 18:10:11.000000,2026-04-02 18:02:52,1228.0,21.0,39.0,30.0,14.0,18,True,https://nrel-sienna.github.io/PowerNetworkMatrices.jl/stable/,4.0,161.0,75.0,2026-03-30 04:23:08.000,0.19.1,40.0,72.0,,,,,,,,,,,,2.0,,,,,,,,,,,
83,GenX,steady-state,"['julia', 'gha', 'university']",,GenXProject/GenX,GPL-2.0,Configurable capacity expansion model.,https://github.com/GenXProject/GenX.jl,https://energy.mit.edu/genx/,2021-05-19 17:57:57,2026-03-26 19:56:58.000000,2026-01-09 19:17:31,1135.0,140.0,64.0,346.0,37.0,17,True,https://genxproject.github.io/GenX/dev/,18.0,571.0,262.0,2025-07-11 18:02:01.000,0.4.5,17.0,5.0,,,,,,,,,,,,3.0,,,,,,,,,GenXProject/GenX.jl,,
84,RSOME,opl,"['gha', 'pypi', 'jupyter', 'python', 'university']",,XiongPengNUS/rsome,GPL-3,Robust Stochastic Optimization Made Easy.,https://github.com/XiongPengNUS/rsome,https://github.com/XiongPengNUS/rsome,2020-07-26 13:00:05,2024-11-15 13:40:52.000000,2024-11-15 13:40:10,218.0,59.0,7.0,343.0,3.0,17,True,https://xiongpengnus.github.io/rsome/,3.0,21.0,38.0,2024-06-25 13:42:14.000,1.3.0,34.0,,rsome,,,1316.0,4.0,,https://pypi.org/project/rsome,1316.0,,,,3.0,2024-10-29 06:05:15.000,4.0,,,,,,,,,
85,openTEPES,steady-state,"['pypi', 'python', 'jupyter', 'gha', 'university']",,IIT-EnergySystemModels/openTEPES,AGPL-3,"Open Generation, Storage, and Transmission Operation and Expansion Planning Model.",https://github.com/IIT-EnergySystemModels/openTEPES,https://github.com/IIT-EnergySystemModels/openTEPES,2020-07-24 21:11:41,2026-03-27 09:29:22.000000,2026-03-27 09:29:14,3335.0,26.0,,54.0,10.0,17,True,https://opentepes.readthedocs.io/en/latest/index.html,4.0,93.0,13.0,2022-02-09 18:43:24.000,4.3.6,11.0,176.0,openTEPES,,120.0,480.0,,,https://pypi.org/project/openTEPES,479.0,,,,3.0,,,,,,,,,,,
86,Open RAO,steady-state,"['gha', 'java', 'non-profit']",,powsybl/powsybl-open-rao,MPL-2.0,Power systems coordinated capacity calculation and security analysis.,https://github.com/powsybl/powsybl-open-rao,https://www.powsybl.org,2018-11-22 10:41:50,2026-04-02 13:57:04.000000,2026-03-31 09:11:10,1185.0,8.0,53.0,31.0,40.0,17,True,https://powsybl.readthedocs.io/projects/openrao/en/stable/,1.0,1469.0,155.0,2026-03-31 09:42:53.000,7.2.0,89.0,62.0,,,52.0,0.0,,,,,,,,3.0,,,,,,,,,,,
87,PowerFlows.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerFlows.jl,BSD-3,Collection of Power Flow solution; NREL Sienna.,https://github.com/NREL-Sienna/PowerFlows.jl,https://www.nlr.gov/analysis/sienna,2022-03-08 18:40:14,2026-04-01 23:13:09.000000,2026-04-01 23:04:38,324.0,24.0,56.0,29.0,14.0,17,True,https://nrel-sienna.github.io/PowerFlows.jl/dev/,4.0,190.0,113.0,2026-03-16 15:03:34.000,0.16.1,25.0,155.0,,,,,,,,,,,,3.0,,,,,,,,,,,
88,ERAD,intf,"['gha', 'pypi', 'python', 'lab']",,NLR-Distribution-Suite/erad,BSD-3,Toolkit for computing resilience metrics for power distribution systems.,https://github.com/NLR-Distribution-Suite/erad,https://github.com/NLR-Distribution-Suite/erad,2022-10-20 18:16:38,2026-03-27 02:34:49.000000,2026-03-06 16:05:56,224.0,12.0,3.0,21.0,7.0,17,True,https://nlr-distribution-suite.github.io/erad/,6.0,73.0,,2026-02-16 22:13:11.000,0.1.10,14.0,60.0,NREL-erad,,,115.0,3.0,3.0,https://pypi.org/project/NREL-erad,115.0,,,,2.0,2026-02-16 22:13:11.000,,,,,,,,,,
