,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,pypi_latest_release_published_at,pypi_dependent_project_count,updated_github_id,gitlab_id,gitlab_url
92,PowerSimulationsDynamics.jl,phasor,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerSimulationsDynamics.jl,BSD-3,Dynamic Power System simulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl,https://www.nlr.gov/analysis/sienna,2020-07-16 19:36:16,2026-03-31 20:07:33.000000,2025-11-10 05:50:54,2415.0,54.0,51.0,216.0,16.0,16,True,https://nrel-sienna.github.io/PowerSimulationsDynamics.jl/stable,9.0,252.0,94.0,2025-07-09 18:08:11.000,0.15.0,42.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
93,UnitCommitment.jl,steady-state,"['julia', 'gha', 'lab']",,ANL-CEEESA/UnitCommitment.jl,BSD-3,Optimization package for the Security-Constrained Unit Commitment Problem.,https://github.com/ANL-CEEESA/UnitCommitment.jl,https://github.com/ANL-CEEESA/UnitCommitment.jl,2020-05-13 15:18:42,2026-04-10 16:11:38.000000,2026-04-10 16:10:47,492.0,36.0,,139.0,7.0,16,True,https://anl-ceeesa.github.io/UnitCommitment.jl/,7.0,29.0,9.0,2025-11-27 15:16:26.000,0.4.2,9.0,122.0,,,,,,,,,,,,3.0,,,,,,,,,,,
94,CIMpy,intf,"['gha', 'pypi', 'python', 'non-profit']",,sogno-platform/cimpy,MPL-2.0,CIM files to the XML/RDF format.,https://github.com/sogno-platform/cimpy,https://github.com/sogno-platform/cimpy,2020-01-29 08:22:48,2025-03-09 07:52:14.000000,2025-02-23 21:37:23,230.0,25.0,3.0,71.0,10.0,16,True,https://sogno.energy/cimpy/,4.0,27.0,12.0,2025-03-09 07:52:14.000,1.2.0,1.0,,cimpy,,,1196.0,13.0,13.0,https://pypi.org/project/cimpy,1196.0,,,,2.0,,,,,,,,,,,
95,AltDSS/DSS C-API,intf,"['gha', 'volunteer']",,dss-extensions/dss_capi,BSD-3,a plain C interface to OpenDSS.,https://github.com/dss-extensions/dss_capi,https://dss-extensions.org/,2017-12-18 14:45:11,2026-02-26 04:44:09.000000,2024-07-11 18:58:44,2411.0,16.0,16.0,38.0,8.0,16,True,https://dss-extensions.org/dss-extensions/pascal/,7.0,12.0,106.0,2024-03-29 04:28:39.000,0.14.5,73.0,,,,33543.0,342.0,,,,,,,,2.0,,,,,,,,,,,
96,matpower-pip,intf,"['gha', 'pypi', 'python', 'university']",,yasirroni/matpower-pip,MIT,Easy Python Access to MATPOWER.,https://github.com/yasirroni/matpower-pip,https://github.com/yasirroni/matpower-pip,2021-12-27 15:47:13,2026-04-02 06:24:46.000000,2026-04-02 06:24:06,224.0,3.0,6.0,26.0,2.0,16,True,,2.0,15.0,15.0,2026-02-25 05:22:02.000,2.3.0,4.0,11.0,matpower,,,628.0,11.0,11.0,https://pypi.org/project/matpower,628.0,,,,2.0,,,,,,,,,,,
97,RTS-GMLC,data,['lab'],,GridMod/RTS-GMLC,DOE/NREL/ALLIANCE data use disclaimer agreement,Reliability Test System dataset for Grid Modernization Lab Consortium studies.,https://github.com/GridMod/RTS-GMLC,https://github.com/GridMod/RTS-GMLC,2017-01-13 22:10:37,2025-10-23 02:49:18.000000,2025-10-23 02:33:26,505.0,93.0,25.0,231.0,31.0,15,True,,21.0,37.0,98.0,2025-10-23 02:49:18.000,0.2.3,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,,
98,EGRET,steady-state,"['gha', 'python', 'lab']",,grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2026-01-22 20:31:18.000000,2026-01-22 20:31:18,1103.0,61.0,49.0,157.0,41.0,15,True,,13.0,247.0,38.0,2025-10-06 15:54:54.000,0.6.0,7.0,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,
99,ExaGO,steady-state,"['gha', 'jupyter', 'c', 'python', 'lab']",,pnnl/ExaGO,BSD-3,Large-scale power grid optimization.,https://github.com/pnnl/ExaGO,https://www.gridpath.io/,2023-08-02 21:05:34,2026-03-23 17:12:53.000000,2026-03-23 17:12:52,1175.0,17.0,2.0,93.0,35.0,15,True,https://github.com/pnnl/ExaGO/blob/develop/docs/manual/manual.pdf,10.0,103.0,101.0,2023-10-25 18:01:10.000,1.6.0,1.0,10.0,,,,,,,,,,,,3.0,,,,,,,,,,,
100,ExaModels,opl,"['gha', 'julia', 'university']",,exanauts/ExaModels.jl,MIT,"An algebraic modeling and automatic differentiation tool in Julia Language, specialized for SIMD abstraction of..",https://github.com/exanauts/ExaModels.jl,https://github.com/exanauts/ExaModels.jl,2023-03-28 20:02:20,2026-04-12 12:07:23.000000,2026-04-12 11:58:30,205.0,8.0,7.0,74.0,11.0,15,True,https://exanauts.github.io/ExaModels.jl/stable/,4.0,208.0,43.0,2026-03-10 16:40:17.000,0.9.7,16.0,33.0,,,,,,,,,,,,3.0,,,,,,,,,,,
101,dGen,dataman,"['gha', 'python', 'jupyter', 'lab']",,NatLabRockies/dgen,BSD-3,The Distributed Generation Market Demand (dGen) model.,https://github.com/NatLabRockies/dgen,https://github.com/NatLabRockies/dgen,2020-04-15 15:51:02,2026-03-26 20:01:33.000000,2026-02-17 20:32:57,301.0,168.0,24.0,74.0,13.0,15,True,https://natlabrockies.github.io/dgen/,15.0,32.0,21.0,2024-12-18 17:32:05.000,2.0.0,2.0,6.0,,,,,,,,,,,,3.0,,,,,,,,,,,
