,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,gitlab_id,gitlab_url
100,ExaGO,steady-state,"['gha', 'jupyter', 'c', 'python', 'lab']",,pnnl/ExaGO,BSD-3,Large-scale power grid optimization.,https://github.com/pnnl/ExaGO,https://www.gridpath.io/,2023-08-02 21:05:34,2026-03-23 17:12:53.000000,2026-03-23 17:12:52,1175.0,17.0,47.0,93.0,35.0,15,True,https://github.com/pnnl/ExaGO/blob/develop/docs/manual/manual.pdf,10.0,103.0,101.0,2023-10-25 18:01:10.000,1.6.0,1.0,14.0,,,,,,,,,,,,,,3.0,,,,,,,,,
101,ExaModels,opl,"['gha', 'julia', 'university']",,exanauts/ExaModels.jl,MIT,"An algebraic modeling and automatic differentiation tool in Julia Language, specialized for SIMD abstraction of..",https://github.com/exanauts/ExaModels.jl,https://github.com/exanauts/ExaModels.jl,2023-03-28 20:02:20,2026-04-07 04:20:15.000000,2026-04-06 15:32:17,194.0,8.0,11.0,74.0,11.0,15,True,https://exanauts.github.io/ExaModels.jl/stable/,4.0,199.0,39.0,2026-03-10 16:40:17.000,0.9.7,16.0,22.0,,,,,,,,,,,,,,3.0,,,,,,,,,
102,dGen,dataman,"['gha', 'python', 'jupyter', 'lab']",,NatLabRockies/dgen,BSD-3,The Distributed Generation Market Demand (dGen) model.,https://github.com/NatLabRockies/dgen,https://github.com/NatLabRockies/dgen,2020-04-15 15:51:02,2026-03-26 20:01:33.000000,2026-02-17 20:32:57,301.0,169.0,24.0,73.0,13.0,15,True,https://natlabrockies.github.io/dgen/,15.0,32.0,21.0,2024-12-18 17:32:05.000,2.0.0,2.0,6.0,,,,,,,,,,,,,,3.0,,,,,,,,,
103,powerfactory-tools,intf,"['pypi', 'python', 'university', 'jupyter', 'gha']",,ieeh-tu-dresden/powerfactory-tools,BSD-3,Python toolbox for control of DIgSILENT PowerFactory.,https://github.com/ieeh-tu-dresden/powerfactory-tools,https://github.com/ieeh-tu-dresden/powerfactory-tools,2022-08-31 07:29:54,2026-04-02 18:33:59.000000,2026-04-02 18:33:59,156.0,9.0,22.0,47.0,4.0,15,True,,2.0,132.0,169.0,2025-12-03 08:59:32.000,3.3.1,24.0,1.0,ieeh-powerfactory-tools,,376.0,171.0,2.0,2.0,https://pypi.org/project/ieeh-powerfactory-tools,2025-12-03 08:59:27.000,,163.0,,,,2.0,,,,,,,,,
104,LTB AMS,steady-state,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,CURENT/ams,GPL-3,Scheduling Modeling and Simulation; CURENT LTB.,https://github.com/CURENT/ams,https://ltb.curent.org/,2022-10-05 11:57:30,2025-12-23 10:31:01.925000,2025-12-23 09:01:24,2805.0,8.0,13.0,24.0,4.0,15,True,https://ams.readthedocs.io/en/latest/,2.0,183.0,11.0,2025-12-23 09:07:56.000,1.1.1,40.0,,ltbams,conda-forge/ltbams,94.0,1211.0,3.0,3.0,https://pypi.org/project/ltbams,2025-12-23 09:07:30.000,,98.0,https://anaconda.org/conda-forge/ltbams,2025-12-23 10:31:01.925,28848.0,3.0,,,,,,,,,
105,ReEDS-2.0,steady-state,"['python', 'gha', 'lab']",,NatLabRockies/ReEDS-2.0,GPL-3,Capacity planning and dispatch model.,https://github.com/NatLabRockies/ReEDS-2.0,https://www.nlr.gov/analysis/reeds/,2019-05-28 15:57:01,2026-03-27 19:59:21.000000,2026-03-26 20:28:37,120.0,81.0,7.0,172.0,14.0,14,True,https://docs.nlr.gov/docs/fy21osti/78195.pdf,131.0,53.0,25.0,2026-03-26 21:04:48.000,2026.03.17,18.0,6.0,,,,,,,,,,,,,,3.0,,,,,,,,,
106,Xyce,phasor,"['pypi', 'conda', 'jupyter', 'python', 'lab']",,Xyce/Xyce,GPL-3,The Xyce Parallel Electronic Simulator.,https://github.com/Xyce/Xyce,https://xyce.sandia.gov/,2019-05-09 15:56:12,2026-04-06 16:31:51.000000,2026-04-06 14:12:59,284.0,15.0,42.0,126.0,8.0,14,True,https://xyce.sandia.gov/documentation-tutorials/,13.0,13.0,78.0,2025-07-21 19:17:59.000,Release-7.10.0,14.0,35.0,xyce,vlsida-eda/xyce,1117.0,151.0,,,https://pypi.org/project/xyce,2022-01-05 14:07:36.000,,19.0,https://anaconda.org/vlsida-eda/xyce,2025-03-25 16:27:12.035,4645.0,3.0,,,,,,,,,
107,PyDSS,intf,"['gha', 'pypi', 'python', 'lab']",,NatLabRockies/PyDSS,BSD-3,A Python wrapper for OpenDSS.,https://github.com/NatLabRockies/PyDSS,https://www.nlr.gov/grid/pydss,2018-10-16 15:59:07,2026-04-08 19:23:36.000000,2026-01-26 16:52:51,959.0,27.0,13.0,40.0,23.0,14,True,https://natlabrockies.github.io/PyDSS/index.html,5.0,123.0,16.0,2024-05-29 18:05:37.000,3.1.7,21.0,1.0,pydss,,,49.0,2.0,2.0,https://pypi.org/project/pydss,2011-08-17 20:40:53.000,,49.0,,,,2.0,,,,,,,,,
108,PowerGraphics.jl,vis,"['gha', 'julia', 'jupyter', 'lab']",,NREL-Sienna/powergraphics.jl,BSD-3,Visualization for PowerSimulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerGraphics.jl,https://www.nlr.gov/analysis/sienna,2020-02-19 23:29:27,2026-03-25 18:01:50.000000,2025-12-08 14:58:17,607.0,19.0,18.0,33.0,11.0,14,True,https://nrel-sienna.github.io/PowerGraphics.jl/stable/,7.0,89.0,24.0,2025-12-08 15:22:55.000,0.21.0,44.0,,,,,,,,,,,,,,,3.0,,,,,,,,,
109,AltDSS-Python,intf,"['pypi', 'python', 'jupyter']",,dss-extensions/AltDSS-Python,BSD-3,Modern Python bindings for an alternative implementation of OpenDSS.,https://github.com/dss-extensions/AltDSS-Python,https://dss-extensions.org/,2023-11-10 01:17:41,2026-02-27 03:29:40.000000,2024-03-29 05:44:37,466.0,2.0,6.0,18.0,,14,False,https://dss-extensions.org/AltDSS-Python/,2.0,1.0,6.0,2024-03-29 06:29:57.000,0.2.4,12.0,,altdss,,,1926.0,19.0,14.0,https://pypi.org/project/altdss,2026-02-26 06:44:21.000,5.0,1926.0,,,,2.0,,,,,,,,,
110,PowerSystems,phasor,"['modelica', 'non-profit']",,modelica-3rdparty/PowerSystems,Modelica License 2,Modelica 3rd party library for electrical power systems.,https://github.com/modelica-3rdparty/PowerSystems,https://github.com/modelica-3rdparty/PowerSystems,2013-04-19 08:46:45,2024-05-07 09:11:07.000000,2024-05-07 08:58:45,190.0,36.0,14.0,77.0,10.0,13,True,https://build.openmodelica.org/Documentation/PowerSystems.html,29.0,17.0,27.0,2024-05-07 09:11:07.000,2.0.0,7.0,,,,,,,,,,,,,,,3.0,,,,,,,,,
111,CIMTool,intf,"['gha', 'java', 'non-profit']",,CIMug-org/CIMTool,LGPL-2.1,CIMugs CIMTool for the CIM.,https://github.com/cimug-org/CIMTool,https://github.com/cimug-org/CIMTool,2020-04-14 18:23:49,2026-04-09 17:34:44.000000,2026-03-22 22:57:54,488.0,10.0,42.0,66.0,17.0,13,True,http://cimtool.ucaiug.io/,15.0,111.0,81.0,2024-10-02 05:23:38.000,2.2.0,12.0,3.0,,,3417.0,48.0,,,,,,,,,,3.0,,,,,,,,,
112,PyPSA MCP,llm,"['python', 'pypi', 'volunteer']",,cdgaete/pypsa-mcp,MIT,PyPSA Energy Modeling for LLMs.,https://github.com/open-energy-transition/pypsa-mcp,https://github.com/open-energy-transition/pypsa-mcp,2025-04-22 06:42:57,2026-03-20 04:15:27.000000,2026-03-20 03:26:26,39.0,5.0,,49.0,2.0,13,True,,1.0,,,2026-03-20 04:15:27.000,0.2.0,5.0,23.0,pypsamcp,,5.0,160.0,,,https://pypi.org/project/pypsamcp,2026-03-20 04:15:27.000,,160.0,,,,1.0,,,,,,,open-energy-transition/pypsa-mcp,,
113,grg-pssedata,intf,"['pypi', 'python', 'lab']",,lanl-ansi/grg-pssedata,BSD-3,Python tools for working with PSSE v33 data files.,https://github.com/lanl-ansi/grg-pssedata,https://github.com/lanl-ansi/grg-pssedata,2018-05-26 20:24:25,2020-12-15 03:35:19.000000,2020-12-14 22:39:36,35.0,15.0,3.0,34.0,3.0,13,False,https://grg-pssedata.readthedocs.io/en/stable/,5.0,5.0,10.0,2020-12-15 03:35:19.000,0.1.4,7.0,,grg-pssedata,,,156.0,8.0,7.0,https://pypi.org/project/grg-pssedata,2020-12-15 03:35:19.000,1.0,156.0,,,,3.0,,,,,,,,,
114,powfacpy,intf,"['pypi', 'python', 'non-profit']",,FraunhIEE-UniKassel-PowSysStability/powfacpy,MIT,Python wrapper around the DIgSILENT PowerFactory API.,https://github.com/FraunhIEE-UniKassel-PowSysStability/powfacpy,https://github.com/FraunhIEE-UniKassel-PowSysStability/powfacpy,2022-09-05 12:16:00,2026-03-25 14:44:08.000000,2026-02-20 14:53:11,439.0,3.0,7.0,10.0,2.0,13,True,https://fraunhiee-unikassel-powsysstability.github.io/powfacpy/docs/,,62.0,34.0,2026-02-25 12:14:45.000,0.4.2,31.0,2.0,powfacpy,,,123.0,5.0,5.0,https://pypi.org/project/powfacpy,2026-02-25 12:14:45.000,,123.0,,,,3.0,,,,,,,,,
115,EnergyDataModel,data,"['pypi', 'python', 'jupyter', 'for-profit']",,rebase-energy/EnergyDataModel,MIT,Represent energy systems as Python data classes.,https://github.com/rebase-energy/EnergyDataModel,https://www.energydatamodel.org/,2023-12-23 11:12:27,2026-04-05 11:31:15.000000,2026-04-05 11:31:11,103.0,6.0,2.0,74.0,5.0,12,True,https://docs.energydatamodel.org/en/latest/,4.0,3.0,,2025-10-05 07:52:33.000,0.0.4,4.0,6.0,energydatamodel,,,144.0,2.0,,https://pypi.org/project/energydatamodel,2025-10-05 07:52:33.000,2.0,144.0,,,,3.0,,,,,,,,,
116,OpenDER,phasor,"['pypi', 'jupyter', 'python', 'c', 'non-profit']",,epri-dev/OpenDER,BSD-3,Inverter-based DER simulation.,https://github.com/epri-dev/OpenDER,https://www.epri.com/OpenDER,2022-04-26 22:09:28,2025-06-23 15:15:40.000000,2025-04-15 17:33:02,125.0,29.0,,70.0,2.0,12,True,,17.0,14.0,1.0,2025-04-15 17:34:05.000,2.2,15.0,,opender,,,2910.0,3.0,3.0,https://pypi.org/project/opender,2025-04-13 13:19:28.000,,2910.0,,,,3.0,,,,,,,,,
117,PSST,steady-state,"['gha', 'pypi', 'python', 'university']",,ames-market/psst,AMES License,Power System Simulation Toolbox for SCUC and SCED in electricity market simulation.,https://github.com/ames-market/psst,https://github.com/ames-market/psst,2016-05-09 03:47:40,2023-02-08 00:45:06.000000,2022-02-08 04:40:44,48.0,29.0,13.0,44.0,7.0,12,False,https://psst.readthedocs.io/,7.0,15.0,,2020-11-24 19:24:03.000,0.1.9,12.0,,psst,,,49.0,7.0,7.0,https://pypi.org/project/psst,2020-11-24 19:24:03.000,,49.0,,,,3.0,,,,,,,,,
118,PyPSA-Distribution,steady-state,"['gha', 'python', 'volunteer']",,pypsa-meets-earth/pypsa-distribution,GPL-3,Multi-energy model for small scale applications in high spatial and temporal resolution.,https://github.com/pypsa-meets-earth/pypsa-distribution,https://github.com/pypsa-meets-earth/pypsa-distribution,2022-05-29 15:03:11,2026-03-30 17:40:45.000000,2026-02-10 16:22:09,324.0,14.0,20.0,29.0,7.0,12,True,https://pypsa-distribution.readthedocs.io/en/latest/,4.0,56.0,9.0,2025-12-31 18:44:21.000,0.0.2,2.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,
119,OATS,steady-state,"['pypi', 'python', 'university']",,bukhsh/oats,GPL-3,Optimisation and Analysis Toolbox for Power Systems.,https://github.com/bukhsh/oats,https://github.com/bukhsh/oats,2018-01-26 23:15:04,2024-12-11 15:02:44.000000,2024-12-11 15:02:44,221.0,7.0,22.0,29.0,4.0,12,True,https://oats.readthedocs.io,1.0,69.0,56.0,2020-01-28 13:56:32.000,1.0.2,22.0,,oatspower,,,76.0,4.0,3.0,https://pypi.org/project/oatspower,2020-01-28 13:45:01.000,1.0,76.0,,,,3.0,,,,,,,,,
120,OpenDSSDirect.jl,intf,"['gha', 'julia', 'volunteer']",,dss-extensions/OpenDSSDirect.jl,MIT,Cross-platform Julia interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.jl,https://dss-extensions.org/,2015-12-30 20:40:07,2026-02-26 06:58:24.000000,2026-02-17 15:07:40,291.0,6.0,12.0,29.0,9.0,12,True,https://dss-extensions.org/OpenDSSDirect.jl/,6.0,63.0,36.0,2024-10-30 03:10:57.000,0.9.9,23.0,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,
121,DOPER,steady-state,"['gha', 'python', 'jupyter', 'lab']",,LBNL-ETA/DOPER,BSD-3,Distributed Optimal and Predictive Energy Resources.,https://github.com/LBNL-ETA/DOPER,https://github.com/LBNL-ETA/DOPER,2019-02-05 16:36:15,2026-04-02 22:28:19.000000,2026-04-02 22:27:52,93.0,11.0,,22.0,3.0,12,True,,2.0,5.0,,2026-04-02 22:28:19.000,2.1.6,3.0,15.0,,,,,,,,,,,,,,3.0,,,,,,,,,
122,MOST,steady-state,"['gha', 'octave', 'university']",,MATPOWER/most,BSD-3,MATPOWER Optimal Scheduling Tool.,https://github.com/MATPOWER/most,https://matpower.org/,2016-12-16 19:10:43,2026-02-16 22:45:45.000000,2026-02-16 22:38:29,248.0,14.0,8.0,39.0,2.0,11,True,https://github.com/MATPOWER/most/blob/master/docs/MOST-manual.pdf,4.0,9.0,37.0,2025-07-12 21:38:08.000,1.3.1,6.0,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,
123,PowerSystemsInvestmentsPortfolios.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerSystemsInvestmentsPortfolios.jl,BSD-3,Data models for Power Systems investment models; NREL Sienna.,https://github.com/NREL-Sienna/PowerSystemsInvestmentsPortfolios.jl,https://www.nlr.gov/analysis/sienna,2024-02-29 21:31:12,2026-04-01 22:03:12.000000,2026-01-22 17:32:07,36.0,9.0,23.0,14.0,7.0,11,True,https://nrel-sienna.github.io/PowerSystemsInvestmentsPortfolios.jl/stable,3.0,31.0,40.0,2026-01-25 17:32:26.000,0.1.0,1.0,7.0,,,,,,,,,,,,,,3.0,,,,,,,,,
124,cimpyorm,intf,"['gha', 'python', 'pypi', 'university']",,RWTH-IAEW/cimpyorm,BSD-3.0,Python ORM middleware for IEC CIM and CGMES datasets.,https://github.com/RWTH-IAEW/cimpyorm,https://github.com/RWTH-IAEW/cimpyorm,2019-01-17 11:51:43,2024-05-15 14:28:13.000000,2023-10-19 16:12:01,82.0,5.0,1.0,12.0,5.0,11,False,,3.0,17.0,2.0,2023-10-19 16:13:58.000,0.10.1,52.0,,cimpyorm,,,2645.0,4.0,4.0,https://pypi.org/project/cimpyorm,2023-10-19 16:13:58.000,,2645.0,,,,3.0,,,,,,,,,
125,LTB AGVis,vis,"['gha', 'pypi', 'python', 'university']",,CURENT/agvis,GPL-3,Geographical Visualization for Power Grid; CURENT LTB.,https://github.com/CURENT/agvis,https://ltb.curent.org/,2019-08-30 19:15:27,2026-03-09 19:00:59.000000,2026-03-09 18:54:56,505.0,6.0,9.0,9.0,12.0,11,True,https://agvis.readthedocs.io/en/latest/,1.0,49.0,16.0,2024-06-07 18:28:30.000,4.0.0,2.0,2.0,agvis,,18.0,46.0,3.0,3.0,https://pypi.org/project/agvis,2024-06-07 18:28:30.000,,46.0,,,,3.0,,,,,,,,,
126,PowerMCP,llm,"['python', 'university']",,Power-Agent/PowerMCP,MIT,Collection of MCP servers for power system software.,https://github.com/Power-Agent/PowerMCP,http://poweragent.seas.harvard.edu/,2025-04-15 22:46:40,2026-04-05 19:44:50.000000,2026-04-05 19:44:50,114.0,31.0,1.0,99.0,11.0,10,True,,4.0,18.0,1.0,,,,35.0,,,,,,,,,,,,,,2.0,,,,,,,,,
127,DSSData,steady-state,"['gha', 'pypi', 'python']",,felipemarkson/dssdata,MIT,A micro-framework for simulation and data analysis of distribution systems modeled on OpenDSS.,https://github.com/felipemarkson/dssdata,https://github.com/felipemarkson/dssdata,2020-03-27 20:15:33,2023-04-10 13:02:09.000000,2023-04-10 13:02:03,186.0,3.0,5.0,17.0,2.0,10,False,https://felipemarkson.github.io/dssdata/,2.0,64.0,31.0,2023-04-10 12:47:00.587,0.2.0,10.0,,dssdata,,56.0,47.0,2.0,2.0,https://pypi.org/project/dssdata,2023-01-24 14:40:53.571,,47.0,,,,3.0,,,,,,,,,
128,mhi-pscad,intf,"['pypi', 'python', 'for-profit']",,,BSD-3,PSCAD Automation library.,,https://www.pscad.com/,,2026-03-03 21:10:26.000000,,,,,,,10,True,https://www.pscad.com/webhelp-v501-al/index.html,,,,2025-11-21 16:49:13.000,3.1.0,35.0,,mhi-pscad,,,5908.0,2.0,,https://pypi.org/project/mhi-pscad,2026-03-03 21:10:26.000,2.0,5908.0,,,,3.0,,,,,,,,,
129,DeepSolar,data,"['python', 'university']",,wangzhecheng/DeepSolar,MIT,Houseshold-level solar panel identification with deep learning.,https://github.com/wangzhecheng/DeepSolar,https://deepsolar.web.app,2017-06-24 23:09:16,2023-03-24 22:39:39.000000,2019-03-26 09:03:56,16.0,70.0,12.0,265.0,2.0,9,False,,21.0,15.0,5.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
130,RLGC,mrl,"['python', 'jupyter', 'lab']",,RLGC-Project/RLGC,BSD,RL for Grid Control (RLGC).,https://github.com/RLGC-Project/RLGC,https://github.com/RLGC-Project/RLGC,2018-12-03 19:07:39,2022-04-08 07:14:43.000000,2022-04-08 07:12:43,90.0,33.0,5.0,137.0,4.0,9,False,,3.0,3.0,10.0,2020-12-23 06:10:29.000,V1.0.0_RC,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,
131,EV-EcoSim,steady-state,"['gha', 'python', 'university']",,ebalogun01/EV-EcoSim/,MIT,A grid-aware co-simulation platform for the design and optimization of EV Charging Infrastructure.,https://github.com/ebalogun01/EV-EcoSim,https://github.com/ebalogun01/EV-EcoSim,2021-01-13 18:55:38,2024-04-19 05:40:52.000000,2024-04-19 05:40:52,509.0,5.0,9.0,26.0,,9,True,https://ebalogun01.github.io/EV-EcoSim/,2.0,33.0,63.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
132,PowerSAS.m,phasor,"['octave', 'lab']",,ANL-CEEESA/powersas.m,BSD-3,Power grid analysis framework based on semi-analytical solutions.,https://github.com/ANL-CEEESA/powersas.m,https://github.com/ANL-CEEESA/powersas.m,2021-12-10 21:25:47,2024-01-05 12:21:48.000000,2024-01-05 12:21:48,75.0,6.0,1.0,21.0,4.0,8,False,https://powersasm.readthedocs.io/en/latest/index.html,,6.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
133,PowerSystemsInvestments.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerSystemsInvestments.jl,BSD-3,Power Systems investment models; NREL Sienna.,https://github.com/NREL-Sienna/PowerSystemsInvestments.jl,https://www.nlr.gov/analysis/sienna,2024-02-29 21:28:33,2026-03-16 23:09:41.000000,2025-07-21 21:37:44,20.0,14.0,29.0,21.0,4.0,8,True,https://nrel-sienna.github.io/PowerSystemsInvestments.jl/stable,4.0,23.0,5.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
134,CIMTool-Builders-Library,intf,['non-profit'],,CIMug-org/CIMTool-Builders-Library,Apache-2,Publically available XSLT builders.,https://github.com/cimug-org/CIMTool-Builders-Library,https://github.com/cimug-org/CIMTool-Builders-Library,2022-09-02 21:37:09,2025-11-21 17:15:45.000000,2025-11-21 17:15:45,226.0,3.0,,10.0,5.0,8,True,https://cimtool-builders.ucaiug.io/,7.0,10.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
135,P-V Curve LLM,llm,"['python', 'university']",,CURENT/pv-curve-llm,MIT,Using LLMs in Power-Voltage Curves for Voltage Stability analysis.,https://github.com/CURENT/pv-curve-llm,https://ltb.curent.org/,2025-06-30 14:39:51,2026-04-08 16:16:26.000000,2026-04-06 02:50:31,101.0,1.0,,4.0,6.0,8,True,,,7.0,,,,,23.0,,,,,,,,,,,,,,3.0,,,,,,,,,
136,ParaEMT,emt,"['python', 'lab']",,NatLabRockies/ParaEMT_public,BSD-3,Parallel EMT simulation.,https://github.com/NatLabRockies/ParaEMT_public,https://github.com/NatLabRockies/ParaEMT_public,2023-06-08 12:43:21,2026-01-15 20:05:30.000000,2026-01-15 20:05:30,137.0,43.0,4.0,91.0,4.0,7,True,,7.0,9.0,1.0,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,
137,AMES - Version 5.0,steady-state,"['java', 'university', 'python']",,ames-market/AMES-V5.0,https://github.com/ames-market/AMES-V5.0/blob/master/LICENSE.rst,Wholesale Power Market Test Bed.,https://github.com/ames-market/AMES-V5.0,https://www2.econ.iastate.edu/tesfatsi/AMESMarketHome.htm,2020-08-03 08:54:08,2026-02-02 23:36:15.000000,2026-02-03 00:01:26,122.0,7.0,3.0,32.0,3.0,7,True,https://www2.econ.iastate.edu/tesfatsi/AMESMarketProjectSetUpInfo.pdf,3.0,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,
138,COLIB,book,"['gha', 'volunteer']",False,CRESYM/colib0.github.io,CC-BY-4.0,Collaborative dynamic library.,https://github.com/CRESYM/colib0.github.io,https://colib.net/,2023-04-06 07:41:08,2025-05-13 08:16:29.000000,2025-05-12 11:57:39,606.0,4.0,12.0,14.0,12.0,7,True,,2.0,156.0,116.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
139,OptiVerse,ops,"['python', 'volunteer']",,feyntech-opt/OptiVerse,MIT,A library with innovative optimization solutions.,https://github.com/feyntech-opt/OptiVerse,https://www.opti-verse.org/,2024-06-16 02:40:23,2025-02-15 07:06:51.000000,2025-02-15 07:06:51,69.0,12.0,,12.0,5.0,7,True,https://www.opti-verse.org/handbook/,,3.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
140,DSS MATLAB,intf,"['gha', 'octave', 'volunteer']",,dss-extensions/dss_matlab,BSD-3,MATLAB interface to OpenDSS.,https://github.com/dss-extensions/dss_matlab,https://dss-extensions.org/,2018-07-23 03:17:34,2024-10-30 16:51:03.000000,2024-10-30 16:43:11,62.0,2.0,7.0,11.0,,7,True,https://dss-extensions.org/dss-extensions/pascal/,2.0,,14.0,2024-10-30 17:03:32.000,0.14.3-1,19.0,,,,1276.0,14.0,,,,,,,,,,3.0,,,,,,,,,
141,DSS Sharp,intf,"['gha', 'volunteer']",,dss-extensions/dss_sharp,BSD-3,C#/.NET wrapper library for DSS C-API.,https://github.com/dss-extensions/dss_sharp,https://dss-extensions.org/,2018-07-01 04:22:15,2024-03-15 04:51:26.000000,2024-03-15 04:40:46,37.0,,3.0,11.0,,7,False,https://dss-extensions.org/dss-extensions/pascal/,2.0,1.0,12.0,2024-03-15 05:08:24.000,0.14.4,9.0,,,,57.0,0.0,3.0,3.0,,,,,,,,3.0,,,,,,,,,
142,MPNG,gasnet,"['octave', 'university']",,MATPOWER/mpng,BSD-3,Simulator for Optimal Power and Natural Gas Flow.,https://github.com/MATPOWER/mpng,https://matpower.org/,2019-09-27 19:49:43,2023-09-13 12:15:23.000000,2023-09-13 12:15:23,65.0,5.0,,11.0,3.0,7,False,https://github.com/MATPOWER/mpng/blob/master/MPNG_User's_Manual/MPNG_Manual_V0.99a.pdf,3.0,2.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
143,PowerFlowAnalyzer,steady-state,"['octave', 'java', 'university']",,power-flow-analyzer/PowerFlowAnalyzer,Apache-2,Toolbox for power system analysis.,https://github.com/power-flow-analyzer/PowerFlowAnalyzer,https://github.com/power-flow-analyzer/PowerFlowAnalyzer,2019-04-01 20:04:10,2019-05-16 20:34:24.000000,2019-05-16 20:34:21,651.0,1.0,,7.0,3.0,7,False,https://power-flow-analyzer.github.io/,,,,2019-04-28 17:41:46.000,2.3.0,1.0,,,,214.0,2.0,,,,,,,,,,3.0,,,,,,,,,
144,hynet,steady-state,"['pypi', 'python', 'university']",,,BSD-3,Optimal power flow framework for hybrid AC/DC power systems.,,http://www.msv.ei.tum.de/,2018-10-04 13:52:00,2021-05-02 21:21:33.000000,,,0.0,,4.0,,7,False,https://hynet.readthedocs.io/en/latest/,,,,2021-05-02 21:21:33.000,1.2.3,20.0,,hynet,,,60.0,,,https://pypi.org/project/hynet,2021-05-02 21:21:33.000,,60.0,,,,3.0,,,,,,,,tum-msv/hynet,https://gitlab.com/tum-msv/hynet
145,PowerfulCases,data,"['gha', 'pypi', 'octave', 'python']",,cuihantao/PowerfulCases,MIT,Test case data management for power systems simulation.,https://github.com/cuihantao/PowerfulCases,https://github.com/cuihantao/PowerfulCases,2025-12-27 11:33:16,2026-01-19 15:31:43.000000,2026-01-19 15:31:40,35.0,,,3.0,,7,True,,,,,2025-12-29 07:41:40.000,0.4.0,4.0,1.0,powerfulcases,,,17.0,,,https://pypi.org/project/powerfulcases,2025-12-29 07:41:40.000,,17.0,,,,3.0,-1.0,,,,,,,,
146,LTB DiME,msg,"['c', 'python', 'octave', 'university']",,CURENT/dime,GPL-3,Distributed Messaging Environment; CURENT LTB.,https://github.com/CURENT/dime,https://ltb.curent.org/,2020-04-29 20:36:10,2023-07-31 21:24:25.000000,2023-07-31 21:24:15,531.0,2.0,13.0,3.0,4.0,7,False,https://ltbdime.readthedocs.io/en/latest/,4.0,11.0,35.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
147,PowerFM,llm,['university'],,Power-Agent/PowerFM,MIT,Foundation models in the power and energy domain.,https://github.com/Power-Agent/PowerFM,http://poweragent.seas.harvard.edu/,2025-04-15 22:51:17,2026-02-28 16:23:01.000000,2026-02-28 16:22:59,12.0,2.0,1.0,36.0,,6,True,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,
148,PowerWorkflow,llm,"['python', 'university']",,Power-Agent/PowerWF,MIT,Collection of agentic workflows for power system applications.,https://github.com/Power-Agent/PowerWF,http://poweragent.seas.harvard.edu/,2025-04-16 15:48:14,2025-07-19 01:31:53.000000,2025-07-19 01:31:53,22.0,1.0,,28.0,,6,True,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
149,EGRIP.jl,steady-state,"['julia', 'octave', 'gha', 'lab']",,ANL-CEEESA/EGRIP.jl,BSD-3,Julia/MATALB package for power system restoration planning and verification.,https://github.com/ANL-CEEESA/EGRIP.jl,https://github.com/ANL-CEEESA/EGRIP.jl,2020-04-23 02:17:47,2025-05-06 20:50:00.000000,2025-05-06 20:46:12,159.0,,,10.0,5.0,6,True,https://anl-ceeesa.github.io/EGRIP.jl/stable/,2.0,4.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
