,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,gitlab_id,gitlab_url
70,DPsim,emt,"['gha', 'pypi', 'jupyter', 'python', 'c', 'university']",,sogno-platform/dpsim,MPL-2.0,Simulation for both EMT and phasor.,https://github.com/sogno-platform/dpsim,https://dpsim.fein-aachen.org/,2020-01-29 08:49:59,2026-03-26 11:03:44.000000,2026-03-26 10:57:59,4859.0,72.0,78.0,122.0,40.0,19,True,https://dpsim.fein-aachen.org/docs/,12.0,287.0,101.0,2025-12-10 15:23:09.000,1.2.1,10.0,2.0,dpsim,,,103.0,14.0,14.0,https://pypi.org/project/dpsim,2025-12-10 14:47:35.000,,103.0,,,,1.0,,,,,,,,,
71,PowSyBl Diagram,vis,"['gha', 'java', 'jupyter', 'for-profit']",,powsybl/powsybl-diagram,MPL-2.0,single-line substation diagrams and network graph diagrams.,https://github.com/powsybl/powsybl-diagram,https://www.powsybl.org,2019-10-11 11:25:46,2026-04-03 14:03:59.000000,2026-04-01 14:20:21,618.0,22.0,86.0,111.0,35.0,19,True,https://www.powsybl.org/pages/documentation/developer/api_guide/svg-writing.html,19.0,604.0,134.0,2026-04-01 16:31:51.000,5.3.0,57.0,29.0,,,,,33.0,33.0,,,,,,,,1.0,,,,,,,,,
72,dsgrid,dataman,"['gha', 'python', 'pypi', 'lab']",,dsgrid/dsgrid,BSD-3,"Demand-side grid projects, datasets and queries.",https://github.com/dsgrid/dsgrid,https://github.com/dsgrid/dsgrid,2020-12-09 23:51:36,2026-04-07 22:49:13.000000,2026-03-31 16:08:01,2038.0,29.0,63.0,102.0,6.0,19,True,https://dsgrid.github.io/dsgrid,4.0,265.0,86.0,2026-03-31 17:21:34.000,0.4.0,7.0,74.0,dsgrid,,,35.0,,,https://pypi.org/project/dsgrid,2014-12-18 16:20:53.000,,35.0,,,,1.0,,,,,,,,,
73,PowerModels.jl,steady-state,"['gha', 'julia', 'lab']",,lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2026-04-09 04:31:19.000000,2026-04-01 23:22:47,1018.0,162.0,93.0,460.0,32.0,18,True,https://lanl-ansi.github.io/PowerModels.jl/stable/,21.0,493.0,422.0,2025-08-12 01:35:46.000,0.21.5,80.0,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,
74,MadNLP,ops,"['gha', 'julia', 'university']",,MadNLP/MadNLP.jl,MIT,A solver for nonlinear programming with GPU support.,https://github.com/MadNLP/MadNLP.jl,https://github.com/MadNLP/MadNLP.jl,2020-09-16 23:07:35,2026-04-05 04:28:59.000000,2026-03-17 18:31:57,647.0,24.0,35.0,243.0,19.0,18,True,https://madnlp.github.io/MadNLP.jl/stable/,13.0,467.0,102.0,2026-02-25 22:28:16.000,0.9.1,32.0,43.0,,,,,,,,,,,,,,3.0,,,,,,,,,
75,PyPSA-USA,steady-state,"['gha', 'python', 'jupyter', 'university']",,PyPSA/pypsa-usa,MIT,Power System Model for the United States.,https://github.com/PyPSA/pypsa-usa,https://pypsa.org,2022-06-07 15:13:26,2026-04-09 00:40:59.000000,2026-02-10 19:17:33,2361.0,45.0,100.0,123.0,16.0,18,True,https://pypsa-usa.readthedocs.io/en/latest/,5.0,355.0,283.0,2026-02-10 19:20:20.000,0.8.0,9.0,12.0,,,,,,,,,,,,,,2.0,,,,,,,,,
76,REopt,steady-state,"['gha', 'python', 'julia', 'lab']",,NatLabRockies/REopt_API,BSD-3,Renewable Energy Integration & Optimization.,https://github.com/NatLabRockies/REopt_API,https://www.nlr.gov/reopt/,2018-12-17 21:24:59,2026-03-06 18:18:44.000000,2026-03-06 16:34:22,5839.0,66.0,44.0,120.0,25.0,18,True,https://github.com/NatLabRockies/REopt_API/wiki,7.0,626.0,42.0,2026-03-06 16:35:46.000,3.18.0,72.0,16.0,,,574.0,7.0,,,,,,,,,,2.0,,,,,,,,,
77,OpenIPSL,phasor,"['gha', 'modelica', 'university']",,OpenIPSL/OpenIPSL,BSD-3,A Power System Library written in the Modelica.,https://github.com/OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,2016-04-16 09:09:47,2026-04-03 22:11:26.000000,2026-03-02 17:59:31,1916.0,65.0,16.0,104.0,36.0,18,True,https://doc.openipsl.org,20.0,253.0,123.0,2026-02-25 16:09:23.000,3.1.0,16.0,36.0,,,509.0,4.0,,,,,,,,,,2.0,,,,,,,,,
78,GasModels.jl,gasnet,"['gha', 'julia', 'lab']",,lanl-ansi/GasModels.jl,BSD-3,Gas Network Optimization.,https://github.com/lanl-ansi/GasModels.jl,https://github.com/lanl-ansi/GasModels.jl,2016-08-29 16:01:10,2026-04-09 17:31:11.000000,2026-03-26 19:11:47,1247.0,22.0,48.0,78.0,19.0,18,True,https://lanl-ansi.github.io/GasModels.jl/latest/,7.0,144.0,135.0,2026-02-26 22:01:50.000,0.12.0,31.0,73.0,,,,,,,,,,,,,,3.0,,,,,,,,,
79,STEPS,phasor,"['c', 'pypi', 'python', 'university']",,changgang/steps,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,https://github.com/changgang/steps,2019-08-24 12:09:47,2026-02-02 03:19:10.000000,2026-02-02 02:05:27,799.0,23.0,1.0,69.0,9.0,18,True,https://github.com/changgang/steps/wiki/,6.0,,3.0,2026-02-02 03:21:35.000,2.3.0,45.0,25.0,stepspy,,71.0,170.0,7.0,7.0,https://pypi.org/project/stepspy,2026-02-02 02:01:13.000,,170.0,,,,2.0,,,,,,,,,
