,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,paper_id,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,paper_cited_by_count,recent_commit_count,julia_id,pypi_id,conda_id,github_release_downloads,monthly_downloads,pypi_url,pypi_latest_release_published_at,dependent_project_count,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,julia_url,julia_monthly_downloads,julia_total_downloads,upstream_projectrank,julia_adjustment,citation_adjustment,bestps_adjustment,projectrank_placing,github_dependent_project_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,gitlab_id,gitlab_url
107,RTS-GMLC,data,['lab'],,GridMod/RTS-GMLC,DOE/NREL/ALLIANCE data use disclaimer agreement,Reliability Test System dataset for Grid Modernization Lab Consortium studies.,https://github.com/GridMod/RTS-GMLC,https://github.com/GridMod/RTS-GMLC,2017-01-13 22:10:37,2025-10-23 02:49:18.000000,2025-10-23 02:33:26,505.0,97.0,28.0,249.0,31.0,15,True,,,22.0,37.0,98.0,2025-10-23 02:49:18.000,0.2.3,5.0,,,,,,,,,,,,,,,,,,,15.0,0.0,0.0,0.0,2.0,,,,,,,,,,
108,PyPSA-USA,steady-state,"['python', 'gha', 'university']",,PyPSA/pypsa-usa,MIT,Power System Model for the United States.,https://github.com/PyPSA/pypsa-usa,https://pypsa.org,2022-06-07 15:13:26,2026-08-24 19:00:49.000000,2026-08-10 05:55:56,2365.0,54.0,106.0,144.0,16.0,15,True,,https://pypsa-usa.readthedocs.io/en/latest/,6.0,383.0,298.0,2026-02-10 19:20:20.000,0.8.0,9.0,,1.0,,,,,,,,,,,,,,,,,15.0,0.0,0.0,0.0,3.0,,,,,,,,,,
109,dGen,steady-state,"['python', 'gha', 'lab']",,NatLabRockies/dgen,BSD-3,The Distributed Generation Market Demand (dGen) model.,https://github.com/NatLabRockies/dgen,https://github.com/NatLabRockies/dgen,2020-04-15 15:51:02,2026-08-26 17:25:06.000000,2026-02-17 20:32:57,301.0,172.0,24.0,78.0,14.0,15,True,,https://natlabrockies.github.io/dgen/,14.0,33.0,21.0,2024-12-18 17:32:05.000,2.0.0,2.0,,,,,,,,,,,,,,,,,,,15.0,0.0,0.0,0.0,3.0,,,,,,,,,,
110,ReEDS,steady-state,"['python', 'julia', 'gams', 'gha', 'lab']",,ReEDS-Model/ReEDS,GPL-3,Capacity planning and dispatch model.,https://github.com/ReEDS-Model/ReEDS,https://www.nlr.gov/analysis/reeds/,2026-04-14 15:33:28,2026-08-27 23:54:32.000000,2026-08-27 17:27:45,895.0,16.0,58.0,34.0,24.0,15,True,,https://docs.nlr.gov/docs/fy21osti/78195.pdf,5.0,117.0,21.0,2026-08-06 22:06:13.000,2026.08.03,3.0,,458.0,,,,,,,,,,,,,,,,,15.0,0.0,0.0,0.0,3.0,,,,,,,,,,
111,dsgrid,dataman,"['python', 'rust', 'gha', 'lab']",,dsgrid/dsgrid,BSD-3,"Demand-side grid projects, datasets and queries.",https://github.com/dsgrid/dsgrid,https://github.com/dsgrid/dsgrid,2020-12-09 23:51:36,2026-08-20 23:58:12.000000,2026-03-31 16:08:01,2038.0,6.0,67.0,34.0,7.0,15,True,,https://dsgrid.github.io/dsgrid,4.0,274.0,86.0,2026-03-31 17:21:34.000,0.4.0,6.0,,,,,,,,,,1.0,,,,,,,,,15.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,
112,powfacpy,intf,"['python', 'non-profit']",,FraunhIEE-UniKassel-PowSysStability/powfacpy,MIT,Python wrapper around the DIgSILENT PowerFactory API.,https://github.com/FraunhIEE-UniKassel-PowSysStability/powfacpy,https://github.com/FraunhIEE-UniKassel-PowSysStability/powfacpy,2022-09-05 12:16:00,2026-08-12 16:14:30.000000,2026-07-03 15:17:38,443.0,6.0,7.0,14.0,2.0,15,True,,https://fraunhiee-unikassel-powsysstability.github.io/powfacpy/docs/,,66.0,34.0,2026-08-12 16:07:59.000,0.4.7,36.0,,3.0,,powfacpy,,,283.0,https://pypi.org/project/powfacpy,2026-08-12 16:07:59.000,5.0,,283.0,,,,,,,15.0,0.0,0.0,0.0,3.0,5.0,,,,,,,,,
113,ParaEMT,emt,"['python', 'lab']",,NatLabRockies/ParaEMT_public,BSD-3,Parallel EMT simulation.,https://github.com/NatLabRockies/ParaEMT_public,https://github.com/NatLabRockies/ParaEMT_public,2023-06-08 12:43:21,2026-01-15 20:05:30.000000,2026-01-15 20:05:30,137.0,51.0,5.0,99.0,4.0,14,True,"['10.1109/TPWRD.2023.3342715', '10.1016/j.epsr.2024.110734']",,7.0,9.0,1.0,,,,34.0,,,,,,,,,,,,,,,,,,8.0,0.0,5.686,6.0,3.0,,,,,,,,,,
114,OpenDSSDirect.jl,intf,"['julia', 'gha', 'community']",,dss-extensions/OpenDSSDirect.jl,MIT,Cross-platform Julia interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.jl,https://dss-extensions.org/,2015-12-30 20:40:07,2026-02-26 06:58:24.000000,2026-02-17 15:07:40,291.0,6.0,12.0,30.0,9.0,14,True,,https://dss-extensions.org/OpenDSSDirect.jl/,6.0,63.0,36.0,2024-10-30 03:10:57.000,0.9.9,23.0,,,OpenDSSDirect,,,,,,,,,,,,,https://juliahub.com/ui/Packages/General/OpenDSSDirect,18.0,1828.0,12.0,2.197,0.0,2.0,3.0,,,,,,,,,,
115,EV-EcoSim,cosim,"['python', 'gha', 'university']",,ebalogun01/EV-EcoSim/,MIT,A grid-aware co-simulation platform for the design and optimization of EV Charging Infrastructure.,https://github.com/ebalogun01/EV-EcoSim,https://github.com/ebalogun01/EV-EcoSim,2021-01-13 18:55:38,2024-04-19 05:40:52.000000,2024-04-19 05:40:52,509.0,5.0,9.0,26.0,,14,False,10.1109/TSG.2023.3339374,https://ebalogun01.github.io/EV-EcoSim/,2.0,33.0,63.0,,,,21.0,,,,,,,,,,,,,,,,,,9.0,0.0,4.836,5.0,3.0,,,,,,,,,,
116,matpower-pip,intf,"['python', 'gha', 'university']",,yasirroni/matpower-pip,MIT,Easy Python Access to MATPOWER.,https://github.com/yasirroni/matpower-pip,https://github.com/yasirroni/matpower-pip,2021-12-27 15:47:13,2026-06-03 21:17:02.000000,2026-06-03 21:17:02,225.0,3.0,7.0,26.0,2.0,14,True,,,2.0,16.0,15.0,2026-02-25 05:22:02.000,2.3.0,26.0,,1.0,,matpower,,,1143.0,https://pypi.org/project/matpower,2026-02-25 05:03:00.000,16.0,2.0,1143.0,,,,,,,14.0,0.0,0.0,0.0,3.0,14.0,,,,,,,,,
