,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,new_addition
110,OpenDER,phasor,"['pypi', 'jupyter', 'python', 'c', 'non-profit']",,epri-dev/OpenDER,BSD-3,Inverter-based DER simulation.,https://github.com/epri-dev/OpenDER,https://www.epri.com/OpenDER,2022-04-26 22:09:28,2025-06-23 15:15:40.000000,2025-04-15 17:33:02,125.0,29.0,,70.0,2.0,12,True,,17.0,14.0,1.0,2025-04-15 17:34:05.000,2.2,15.0,,opender,,,2542.0,3.0,3.0,https://pypi.org/project/opender,2025-04-13 13:19:28.000,,2542.0,,,,3.0,,,,,,,,
111,PyPSA MCP,llm,"['python', 'pypi', 'volunteer']",,cdgaete/pypsa-mcp,MIT,PyPSA Energy Modeling for LLMs.,https://github.com/cdgaete/pypsa-mcp,https://github.com/cdgaete/pypsa-mcp,2025-04-22 06:42:57,2026-03-20 04:15:27.000000,2026-03-20 03:26:26,39.0,5.0,,49.0,2.0,12,True,,1.0,,,2026-03-20 04:15:27.000,0.2.0,5.0,23.0,pypsamcp,,5.0,138.0,,,https://pypi.org/project/pypsamcp,2026-03-20 04:15:27.000,,138.0,,,,1.0,,,,,,,,
112,grg-pssedata,intf,"['pypi', 'python', 'lab']",,lanl-ansi/grg-pssedata,BSD-3,Python tools for working with PSSE v33 data files.,https://github.com/lanl-ansi/grg-pssedata,https://github.com/lanl-ansi/grg-pssedata,2018-05-26 20:24:25,2020-12-15 02:47:06.000000,2020-12-14 22:39:36,35.0,15.0,3.0,34.0,3.0,12,False,https://grg-pssedata.readthedocs.io/en/stable/,5.0,5.0,10.0,2020-12-15 02:47:06.000,0.1.4,7.0,,grg-pssedata,,,148.0,7.0,7.0,https://pypi.org/project/grg-pssedata,,,148.0,,,,3.0,,,,,,,,
113,PyPSA-Distribution,steady-state,"['gha', 'python', 'volunteer']",,pypsa-meets-earth/pypsa-distribution,GPL-3,Multi-energy model for small scale applications in high spatial and temporal resolution.,https://github.com/pypsa-meets-earth/pypsa-distribution,https://pypsa-meets-earth.github.io/,2022-05-29 15:03:11,2026-03-16 17:55:46.000000,2026-02-10 16:22:09,324.0,14.0,18.0,29.0,7.0,12,True,https://pypsa-distribution.readthedocs.io/,4.0,56.0,9.0,2025-12-31 18:44:21.000,0.0.2,2.0,5.0,,,,,,,,,,,,,,3.0,,,,,,,,
114,OpenDSSDirect.jl,intf,"['gha', 'julia', 'volunteer']",,dss-extensions/OpenDSSDirect.jl,MIT,Cross-platform Julia interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.jl,https://dss-extensions.org/,2015-12-30 20:40:07,2026-02-26 06:58:24.000000,2026-02-17 15:07:40,291.0,6.0,12.0,29.0,9.0,12,True,https://dss-extensions.org/OpenDSSDirect.jl/,6.0,63.0,36.0,2024-10-30 03:10:57.000,0.9.9,23.0,1.0,,,,,,,,,,,,,,3.0,,,,,,,,
115,MOST,steady-state,"['gha', 'octave', 'university']",,MATPOWER/most,BSD-3,MATPOWER Optimal Scheduling Tool.,https://github.com/MATPOWER/most,https://matpower.org/,2016-12-16 19:10:43,2026-02-16 22:45:45.000000,2026-02-16 22:38:29,248.0,14.0,8.0,39.0,2.0,11,True,https://github.com/MATPOWER/most/blob/master/docs/MOST-manual.pdf,4.0,9.0,37.0,2025-07-12 21:38:08.000,1.3.1,6.0,2.0,,,,,,,,,,,,,,3.0,,,,,,,,
116,PowerSystemsInvestmentsPortfolios.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerSystemsInvestmentsPortfolios.jl,BSD-3,Data models for Power Systems investment models; NREL Sienna.,https://github.com/NREL-Sienna/PowerSystemsInvestmentsPortfolios.jl,https://www.nrel.gov/analysis/sienna.html,2024-02-29 21:31:12,2026-02-28 21:33:24.000000,2026-01-22 17:32:07,36.0,9.0,23.0,14.0,7.0,11,True,https://nrel-sienna.github.io/PowerSystemsInvestmentsPortfolios.jl/stable,3.0,31.0,40.0,2026-01-25 17:32:26.000,0.1.0,1.0,7.0,,,,,,,,,,,,,,3.0,,,,,,,,
117,cimpyorm,intf,"['gha', 'python', 'pypi', 'university']",,RWTH-IAEW/cimpyorm,BSD-3.0,Python ORM middleware for IEC CIM and CGMES datasets.,https://github.com/RWTH-IAEW/cimpyorm,https://github.com/RWTH-IAEW/cimpyorm,2019-01-17 11:51:43,2024-05-15 14:28:13.000000,2023-10-19 16:12:01,82.0,5.0,1.0,12.0,5.0,11,False,,3.0,17.0,2.0,2023-10-19 16:13:58.000,0.10.1,52.0,,cimpyorm,,,1638.0,4.0,4.0,https://pypi.org/project/cimpyorm,2023-10-19 16:13:58.000,,1638.0,,,,3.0,,,,,,,,
118,LTB AGVis,vis,"['pypi', 'python', 'university']",,CURENT/agvis,GPL-3.0,Geographical Visualization for Power Grid; CURENT LTB.,https://github.com/CURENT/agvis,https://ltb.curent.org/,2019-08-30 19:15:27,2026-03-09 19:00:59.000000,2026-03-09 18:54:56,505.0,6.0,9.0,9.0,12.0,11,True,https://agvis.readthedocs.io/en/latest/,1.0,49.0,16.0,2024-06-07 18:28:30.000,4.0.0,2.0,2.0,agvis,,18.0,46.0,3.0,3.0,https://pypi.org/project/agvis,2024-06-07 18:28:30.000,,46.0,,,,3.0,,,,,,,,
119,PowerMCP,llm,"['python', 'university']",,Power-Agent/PowerMCP,MIT,Collection of MCP servers for power system software.,https://github.com/Power-Agent/PowerMCP,https://power-agent.github.io,2025-04-15 22:46:40,2026-03-20 02:18:41.000000,2026-03-20 02:18:41,101.0,28.0,1.0,88.0,10.0,10,True,,4.0,14.0,1.0,,,,22.0,,,,,,,,,,,,,,2.0,,,,,,,,
