,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id,gitlab_id,gitlab_url
64,AMPLPY,ops,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'for-profit']",,ampl/amplpy,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,https://ampl.com/,2017-06-27 00:22:07,2026-06-25 10:17:29.000000,2026-06-24 13:11:06,892.0,20.0,,85.0,9.0,21,True,https://amplpy.readthedocs.io/en/latest/,10.0,7.0,51.0,2026-06-24 13:14:48.000,0.17.0,188.0,4.0,amplpy,conda-forge/amplpy,,43573.0,152.0,138.0,https://pypi.org/project/amplpy,2026-06-25 10:17:29.000,14.0,35640.0,https://anaconda.org/conda-forge/amplpy,2025-09-05 16:24:52.977,555347.0,3.0,,,,,1.0,,,,
65,PyPSA-Eur,steady-state,"['gha', 'python', 'university']",,PyPSA/pypsa-eur,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur,https://pypsa.org,2017-10-11 23:54:41,2026-06-25 08:32:25.000000,2026-06-23 15:01:37,5846.0,407.0,241.0,580.0,110.0,20,True,https://pypsa-eur.readthedocs.io/en/latest/,18.0,1544.0,461.0,2026-02-19 07:45:23.000,2026.02.0,21.0,41.0,,,,,,,,,,,,,,2.0,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,,,,,,,
66,OpenDSSDirect.py,intf,"['gha', 'pypi', 'python', 'jupyter', 'volunteer']",,dss-extensions/OpenDSSDirect.py,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,2017-06-20 19:18:22,2026-02-26 06:34:19.000000,2024-03-29 05:10:43,451.0,24.0,18.0,110.0,3.0,20,False,https://dss-extensions.org/OpenDSSDirect.py/,12.0,32.0,99.0,2024-03-29 06:18:05.000,0.9.4,43.0,,OpenDSSDirect.py,,,12335.0,97.0,81.0,https://pypi.org/project/OpenDSSDirect.py,2021-03-11 01:53:34.000,16.0,12335.0,,,,1.0,,,,,,,,,
67,Prescient,steady-state,"['gha', 'pypi', 'python']",,grid-parity-exchange/Prescient,BSD-3,Production cost modeling for power generation and distribution networks.,https://github.com/grid-parity-exchange/Prescient,https://github.com/grid-parity-exchange/Prescient,2020-06-02 22:42:14,2026-05-29 23:32:07.000000,2026-05-29 23:32:06,267.0,17.0,20.0,39.0,11.0,20,True,https://prescient.readthedocs.io/,6.0,127.0,47.0,2026-05-29 23:30:57.000,2.2.3,6.0,4.0,gridx-prescient,,,17799.0,16.0,11.0,https://pypi.org/project/gridx-prescient,2026-05-29 23:30:57.000,5.0,17799.0,,,,2.0,,,,,,,,,
68,PowerModels.jl,steady-state,"['gha', 'julia', 'lab']",,lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2026-05-06 01:21:38.000000,2026-05-06 00:54:57,1023.0,164.0,93.0,468.0,32.0,19,True,https://lanl-ansi.github.io/PowerModels.jl/stable/,21.0,498.0,423.0,2026-05-06 01:17:56.000,0.21.6,81.0,9.0,,,,,,,,,,,,,,2.0,,,,,,,,,
69,PyPSA-Earth,steady-state,"['gha', 'python', 'volunteer']",,pypsa-meets-earth/pypsa-earth,AGPL-3,Open optimisation model for study energy system futures.,https://github.com/pypsa-meets-earth/pypsa-earth,https://pypsa-meets-earth.github.io/,2021-02-28 19:26:35,2026-06-24 18:53:40.000000,2026-06-24 13:26:02,6450.0,332.0,297.0,348.0,94.0,19,True,https://pypsa-earth.readthedocs.io/,13.0,1130.0,412.0,2025-12-24 14:16:28.000,0.8.0,14.0,42.0,,,,,,,,,,,,,,2.0,,,,,-1.0,,,,
70,REopt,steady-state,"['gha', 'python', 'julia', 'lab']",,NatLabRockies/REopt_API,BSD-3,Renewable Energy Integration & Optimization.,https://github.com/NatLabRockies/REopt_API,https://www.nlr.gov/reopt/,2018-12-17 21:24:59,2026-06-24 15:40:52.000000,2026-05-29 14:20:44,5907.0,66.0,44.0,123.0,26.0,19,True,https://github.com/NatLabRockies/REopt_API/wiki,7.0,635.0,42.0,2026-05-29 17:31:46.000,3.19.1,74.0,62.0,,,575.0,7.0,,,,,,,,,,2.0,,,,,,,,,
71,PowSyBl Diagram,vis,"['gha', 'java', 'jupyter', 'for-profit']",,powsybl/powsybl-diagram,MPL-2.0,single-line substation diagrams and network graph diagrams.,https://github.com/powsybl/powsybl-diagram,https://www.powsybl.org,2019-10-11 11:25:46,2026-06-24 14:02:34.000000,2026-06-18 08:38:18,629.0,25.0,79.0,119.0,36.0,19,True,https://www.powsybl.org/pages/documentation/developer/api_guide/svg-writing.html,19.0,619.0,135.0,2026-06-02 15:08:12.000,5.4.0,58.0,18.0,,,,,35.0,35.0,,,,,,,,1.0,,,,,,,,,
72,openTEPES,steady-state,"['pypi', 'python', 'jupyter', 'gha', 'university']",,IIT-EnergySystemModels/openTEPES,AGPL-3,"Open Generation, Storage, and Transmission Operation and Expansion Planning Model.",https://github.com/IIT-EnergySystemModels/openTEPES,https://github.com/IIT-EnergySystemModels/openTEPES,2020-07-24 21:11:41,2026-06-25 12:18:25.000000,2026-06-25 12:18:21,3543.0,28.0,4.0,54.0,10.0,19,True,https://opentepes.readthedocs.io/en/latest/index.html,4.0,122.0,13.0,2026-02-24 11:07:01.000,4.18.15,117.0,208.0,openTEPES,,123.0,437.0,,,https://pypi.org/project/openTEPES,2026-04-10 08:58:59.000,,436.0,,,,2.0,,,,,,,,,
73,py-dss-interface,intf,"['pypi', 'python', 'jupyter', 'non-profit']",,PauloRadatz/py_dss_interface,MIT,A package for access to direct dll version of OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36,2026-05-31 15:51:43.000000,2026-04-15 10:34:10,716.0,13.0,1.0,44.0,7.0,19,True,https://py-dss-interface.readthedocs.io/en/latest/,6.0,51.0,56.0,2026-02-16 15:33:33.000,2.3.0,25.0,1.0,py-dss-interface,,43.0,6173.0,54.0,41.0,https://pypi.org/project/py-dss-interface,2026-02-16 15:20:40.000,13.0,6173.0,,,,1.0,,,,,,,,,
